,No-show
19005,0
80858,1
25338,0
105708,0
93701,0
108235,0
109249,1
92215,1
7470,0
31742,0
92437,0
2844,0
45893,0
54411,0
55716,0
21713,0
88832,0
30224,0
39122,1
35418,0
20266,0
109390,0
85900,0
32628,0
44683,0
70611,0
59312,1
23553,0
1636,1
4177,1
77129,0
8311,1
41122,0
75420,0
103566,0
108301,0
13542,0
28206,0
98993,0
47064,0
78685,0
91511,0
22511,1
81561,0
102198,0
69384,0
81976,0
46768,0
18750,0
23113,0
32431,0
70223,0
59275,0
106725,0
72824,0
31576,0
95736,1
11973,1
52161,0
107600,0
84484,1
28419,0
17903,0
70249,0
85178,0
79649,0
63421,0
97302,0
84532,1
103893,0
108462,1
88159,0
52211,0
78358,0
84902,0
70459,0
42483,0
44356,0
105739,1
54240,1
18736,0
9011,0
35753,0
7683,0
79816,0
50541,0
67667,0
10637,0
88057,1
30247,0
42526,1
80711,0
86863,0
90528,0
86817,0
47501,0
53966,0
11345,0
6416,0
48137,0
11972,0
106336,0
100156,0
31925,1
45176,0
43412,0
56433,0
45818,0
67064,0
2475,0
40288,1
48358,0
53909,1
66463,0
106583,0
79109,0
42546,0
90915,0
85706,0
71517,0
46344,0
1285,0
5644,0
89039,0
4114,0
47383,1
16431,0
56681,0
88963,0
33317,0
33803,0
19504,0
18729,1
106988,0
106999,0
96337,0
55162,0
49630,0
16382,0
92712,0
30768,0
30226,0
77552,1
103667,0
17126,0
105169,0
81808,0
35648,0
17213,0
7359,0
107511,0
48486,0
94834,1
68874,1
75604,0
30493,0
88536,1
15012,0
33900,0
85442,1
94971,0
39625,0
88181,0
42485,0
29932,0
35149,0
100621,0
76743,0
94607,0
98219,1
77830,0
92176,1
10172,0
33883,0
5374,1
14798,0
65300,1
83691,1
51979,1
7565,0
100095,0
40827,1
65835,1
3527,0
34575,0
17335,0
9850,0
104072,1
34928,0
30539,0
39272,1
69868,0
77020,0
38449,0
83654,0
24763,1
54339,0
43780,0
39591,0
83384,0
61863,0
23268,0
15756,1
80380,1
56913,0
16754,0
98175,0
39859,0
13747,0
76564,1
48975,0
91745,0
53611,1
55740,0
22466,0
16566,0
100143,1
103528,1
27854,0
99014,0
7884,1
107898,1
35573,0
31640,0
23748,0
4478,0
45166,0
55963,1
87250,0
46372,0
109265,0
62456,1
22549,0
59505,0
12990,1
36349,0
8195,0
91181,0
59089,0
55719,0
110183,0
109119,1
42940,0
64277,0
69747,0
44446,0
71469,0
104068,0
109590,0
90492,1
7291,1
40154,0
52104,0
94531,1
7615,1
22039,0
52897,1
39060,0
20963,1
71583,0
7719,0
59148,0
31584,0
13982,1
64519,0
34814,0
34475,0
63913,0
12408,1
39051,0
71454,0
10213,0
82228,0
72506,0
8902,0
15590,1
30722,0
82768,0
78565,0
61884,1
102101,1
38990,0
42328,0
38389,0
76699,1
42155,1
9088,0
73455,0
35062,0
17225,0
51424,0
104849,1
102826,1
29216,1
30547,0
3896,0
43103,1
66105,0
5152,0
72389,0
18089,1
96347,0
4133,0
48741,0
71341,1
99842,0
29370,1
5833,0
61720,0
45524,0
73535,0
96959,0
69254,0
7128,1
49125,1
53245,1
85949,1
61224,0
77464,1
105012,0
32186,1
100965,0
90023,0
56427,0
19113,0
38458,0
92724,0
34224,0
67839,0
23125,0
45617,0
61879,1
93495,0
104629,1
7428,0
89863,0
6135,0
108785,0
25176,0
74781,0
5166,0
21955,0
60917,0
109348,0
25574,1
75551,1
25255,0
19624,0
101576,0
26867,1
83862,0
17435,0
26499,1
86952,0
97509,1
87425,0
40257,0
87397,0
23995,1
65480,0
94823,0
60855,0
102953,0
8089,0
66887,1
43546,0
28637,1
103139,0
56105,0
51365,1
4971,0
85670,1
57009,1
106810,0
106736,1
89107,0
34827,0
109854,1
107636,0
79731,0
71936,0
2118,0
59081,0
29998,0
6418,0
28299,0
38759,0
29155,0
46803,0
81829,0
8394,0
89069,1
110318,0
9936,0
76932,0
12405,0
12119,0
33259,0
11458,0
92945,0
25562,0
37866,0
109773,0
25081,0
6361,1
60299,0
40086,0
76319,0
38875,0
68356,0
75104,1
15584,0
105121,0
99144,0
93772,0
79602,0
56415,1
80600,0
85700,1
103113,0
27344,0
51705,0
16880,0
222,0
9534,0
37859,1
2569,0
16063,0
59169,0
39630,0
70473,0
39191,0
36103,0
29083,0
109501,1
90587,0
84046,0
98157,0
8810,0
81869,0
100059,0
60676,0
50744,0
89709,0
7247,0
66043,0
25034,0
101563,0
48959,0
26473,0
98026,1
37971,1
63429,0
31082,0
93497,0
9424,0
17343,0
75417,0
76489,0
19029,0
11193,0
48509,0
38979,0
104135,0
83424,0
87570,1
95167,0
67538,0
16695,0
10441,0
59173,0
35783,0
58758,0
36783,0
19316,0
92669,1
63853,0
6118,1
51029,0
109569,1
55308,1
15404,0
5796,1
80777,0
77046,0
76551,0
101623,0
58765,0
41119,1
3182,1
10883,0
95721,0
93382,0
90317,0
8864,0
78314,0
60697,1
6654,1
32190,1
4330,0
40694,0
108461,0
87816,0
63969,0
41676,0
57158,0
45363,0
8079,0
10021,1
94793,0
97269,0
78284,0
88533,0
40779,0
84969,0
73382,0
39468,1
32242,0
13727,0
95715,0
37843,0
736,0
71319,0
88134,0
1896,0
35955,1
104838,0
87153,0
19619,0
12489,0
35125,0
1963,1
50550,0
15991,0
15379,0
18187,0
77424,0
103418,0
58042,0
8372,0
69824,0
71941,0
42941,0
32892,0
110068,0
40986,0
18326,0
67349,0
52299,1
29359,0
12271,0
92121,0
15730,0
52619,0
105942,0
13018,1
103326,1
28067,0
74136,0
90560,0
108720,0
72950,0
19615,0
104362,1
77827,0
70170,0
20465,0
91568,0
110062,0
7568,1
18381,1
55602,0
54470,0
1485,0
27804,0
42256,1
20013,0
9362,0
90361,0
67159,0
52041,0
31283,0
52419,0
70883,0
24426,1
105367,0
11307,0
105944,0
94934,0
86560,0
12211,0
12065,0
39391,0
30619,0
96042,0
78320,0
110059,1
70360,1
58796,0
40756,0
98583,0
20166,0
14544,0
20464,0
54875,0
74678,0
28403,1
63323,0
24394,0
100577,0
35760,1
95807,0
13562,0
991,0
101058,0
30991,0
5357,0
60819,0
34432,0
6035,0
1777,0
90701,0
64436,0
81082,0
2834,0
510,0
76073,1
89266,1
37647,0
43373,0
9466,1
52974,0
42408,1
61365,0
49808,1
3814,1
64227,0
104660,0
5623,0
62091,0
8001,0
94883,0
64056,0
62464,0
39098,1
617,0
70483,1
57024,1
83488,0
33301,0
78470,0
87755,0
68619,0
3553,1
71406,0
74431,0
108072,1
110043,0
2140,0
72474,0
87562,0
107497,0
72934,0
18590,0
31346,1
48245,0
67828,1
27413,0
63020,0
587,0
71189,0
12842,0
48481,0
25547,1
90145,0
109192,0
93842,0
90515,0
15084,0
53009,0
15928,0
7519,0
62507,0
66314,0
23340,0
50410,0
66912,0
3684,0
26374,1
75408,1
100769,0
48586,1
106240,0
34837,0
81824,0
96787,0
18277,0
8801,1
99486,0
12327,0
82222,0
37266,0
25387,1
85288,1
97046,1
58053,0
83658,0
69620,1
98182,0
55379,0
50348,0
31643,0
95616,0
82588,0
62727,1
33376,0
72968,0
85469,0
23898,0
64640,0
84395,0
59428,0
84410,0
23080,0
60834,0
11283,0
37100,0
49817,0
96052,0
63718,0
100306,0
97110,1
56157,0
30038,0
59671,0
25442,0
77579,0
15186,1
40920,0
54295,0
93262,0
79346,0
15336,0
2069,1
46925,0
43483,0
106914,1
77818,0
35791,0
7431,0
63715,0
75412,1
7321,0
87682,0
63745,1
100801,1
83055,1
99472,0
31458,1
39,1
80338,0
9842,0
72075,0
87983,0
27282,0
11406,0
110441,0
45117,0
109386,0
3975,0
16125,0
21720,0
55886,0
89346,0
62864,1
34051,0
38400,0
26316,0
18471,1
49482,0
103484,0
26431,0
52585,0
67625,0
83506,0
102769,0
19412,0
4528,0
107909,1
30305,1
79487,0
19586,0
6610,0
76404,0
80274,0
31558,0
56180,0
9304,0
89197,0
4734,0
17441,1
17093,0
57386,0
37494,0
83605,0
68479,1
60356,0
28415,0
40308,0
74644,1
63489,0
56954,0
25648,0
110513,1
99322,0
88487,0
56777,0
98478,0
85755,0
107114,0
18226,0
105886,0
2858,0
87113,0
19062,0
35208,1
78870,0
2296,0
68178,0
88361,0
45023,0
77703,0
108182,0
47124,0
55456,0
24111,0
40949,0
83107,0
48305,0
105152,0
35875,0
14941,0
34819,0
74433,0
37634,0
5490,0
22932,0
68544,0
90463,0
44368,0
85113,0
46807,0
17495,0
98923,0
55046,0
29611,0
44328,0
4855,0
95340,0
110014,0
12553,0
449,1
74464,0
72039,0
89123,0
18883,0
75588,0
18435,1
14169,0
68844,1
21754,0
34710,0
80033,1
5753,0
101047,1
22732,0
15579,0
70790,0
71858,0
80435,1
76292,1
100921,0
89741,0
63589,0
38838,0
90344,0
68226,0
70408,0
83591,0
34965,0
85208,0
70011,0
86508,0
62531,1
23408,0
10233,0
80021,0
1352,0
650,0
23143,0
48837,0
56327,0
21386,0
39839,0
78381,0
104580,0
980,0
1800,0
40565,0
24610,1
40110,0
3984,0
18638,0
24457,0
101178,0
81759,1
40042,0
81702,0
106421,1
44727,0
42018,0
6765,0
84498,1
16570,0
32687,0
31256,0
63708,1
101099,0
17122,0
104892,0
107136,0
102476,0
57653,1
55960,0
42137,0
51446,1
68200,0
61919,1
91088,0
62840,0
19543,0
62798,0
13473,0
88397,0
38746,0
16836,0
38661,0
104037,0
62520,1
47069,0
79440,0
107630,0
64876,0
91027,0
87232,0
67065,0
20307,0
50503,0
13792,0
21021,0
88527,0
34852,0
106394,0
14766,1
65053,1
1678,0
57935,1
56445,0
18131,0
81014,0
67943,0
47600,0
44685,1
94640,0
9312,1
53693,0
83959,1
51795,1
68377,0
59184,0
81695,0
62970,0
55141,0
28442,0
51442,0
85815,0
39997,0
81044,0
33704,1
20005,0
48102,0
92910,0
82252,0
91212,1
11254,0
71986,0
25506,0
101356,1
40755,0
58426,0
27227,0
85141,1
103954,1
78312,1
81560,0
72811,0
60978,0
46613,0
37987,0
77070,1
80487,0
90085,0
91793,0
106521,0
10188,0
2542,0
25641,0
10185,1
9535,0
14312,0
50632,1
35104,0
107679,0
79639,1
22241,0
75134,0
69100,0
87516,0
10165,0
106750,1
48126,0
26570,0
54853,0
100221,0
70263,1
18317,0
85736,0
44431,0
42510,0
20440,1
72890,0
9336,0
67486,1
108886,0
99972,0
103492,0
69297,0
69655,0
20212,0
94057,1
34137,0
33487,0
86696,0
74279,0
84946,0
87743,0
97244,0
33428,0
53311,0
47657,0
12584,1
108341,0
83379,0
39013,0
2913,0
101797,0
14777,0
65258,0
47845,0
67861,0
14685,0
93288,0
4401,0
51570,0
82435,0
2992,0
86382,0
102862,1
27916,0
83670,1
108475,0
25074,0
25928,0
14436,0
91640,0
78686,1
30716,1
104251,0
85138,0
49475,0
79800,0
86579,0
63894,0
106451,0
41566,0
91679,0
87382,1
52717,0
83559,0
38531,1
27768,1
104779,0
53125,0
87319,0
73989,0
87487,0
35546,0
5821,0
76348,0
56793,0
45424,0
12434,0
47691,0
85394,0
17668,0
66705,0
5438,0
66531,0
105310,0
83117,0
96846,0
47835,1
36235,0
54187,0
39099,0
76879,0
25333,0
36882,0
86888,1
32480,0
80475,1
17901,1
105321,1
40550,0
40634,0
39740,0
56667,0
10342,0
12804,1
71412,1
39758,0
64211,0
91382,0
78044,0
9836,0
14219,0
765,0
35742,0
18169,0
79546,0
26245,0
103221,1
31874,0
10540,0
106064,0
3833,0
68566,0
38419,1
43141,1
7835,0
54049,0
102987,1
3417,0
41386,1
42625,0
10882,0
99345,1
24991,0
68467,1
8178,1
91829,0
25871,0
89946,0
72658,1
30333,0
52317,1
88069,0
106546,1
34039,0
13246,0
92007,1
47106,0
96325,1
33402,0
15321,0
79119,1
78877,0
22852,0
42164,0
31944,0
71344,0
63636,0
61339,0
98056,0
75306,0
72425,0
101362,0
47891,0
69884,0
89375,0
2625,1
36662,0
96617,1
37562,1
15226,0
4331,0
56579,0
63842,0
25069,0
36780,0
73271,0
107225,0
80081,0
72278,1
4029,0
92515,0
40442,0
7982,0
9940,0
86233,0
40549,0
2772,0
5094,0
23360,0
5009,0
105295,0
75427,1
104771,0
89164,0
95486,1
19797,0
37571,1
81300,0
11129,0
81394,1
105962,0
28688,0
103099,1
87006,0
82732,1
65729,0
106597,0
101066,0
47744,0
92403,0
9668,0
89647,0
99682,0
70715,0
97424,0
59123,0
5090,0
30778,1
46114,1
9256,0
62043,0
102725,0
69296,1
33847,0
27444,0
17787,0
6013,0
27472,0
6758,0
94890,1
92279,0
27732,0
1478,1
12924,0
29137,1
20947,1
62709,0
51846,0
35317,0
34631,0
45723,0
8322,1
25960,0
83951,0
54620,0
47712,0
104435,1
53092,1
79016,0
93040,0
22193,0
62368,0
27095,0
36606,0
5334,0
12425,0
76870,0
38839,0
62491,1
53801,0
30497,0
27939,0
80673,0
98889,0
31466,0
50837,0
71661,0
55859,1
19463,1
92826,0
53674,1
91621,1
50705,0
82953,0
52629,0
109274,0
2412,0
83418,0
61417,0
17141,0
48023,0
106265,0
70491,1
109883,1
47411,0
6934,0
84702,0
108407,0
21213,0
28519,1
77970,1
65718,1
56079,0
4191,0
70720,0
90084,0
80336,0
48540,1
9592,0
80719,0
105075,1
63072,1
37831,0
10640,0
106231,0
66820,1
11024,1
96307,0
55363,0
87809,1
109907,0
58695,1
5315,0
1420,1
13183,1
95709,0
2560,0
96183,0
93895,1
1603,0
56535,0
35729,1
103719,0
62074,0
57813,0
33436,0
100779,1
108716,0
69826,1
28059,0
89395,0
64088,1
47147,0
97227,0
43058,1
46122,0
48692,0
62183,1
12133,0
45168,0
47406,0
44551,0
13020,1
57290,0
24379,0
18695,0
63281,0
76198,0
101929,0
3689,0
563,1
12430,0
106104,0
63627,0
41553,0
46935,1
107296,0
56167,0
101812,0
106713,1
59744,1
2953,0
51498,0
23935,0
29023,1
94219,0
66255,0
63195,0
40824,1
70734,0
77404,0
108707,0
103481,0
99035,0
42447,0
40963,1
34903,0
61721,0
69308,0
62480,1
28794,0
93311,0
83582,0
39452,1
100373,0
41379,0
73137,0
78039,1
101547,1
39148,0
60924,1
40546,0
100289,1
25264,0
17669,0
4592,0
26025,0
94987,0
50919,0
62366,0
98859,1
48081,0
60150,0
11645,0
62691,1
812,0
103756,0
57452,0
8189,0
95728,0
84153,0
25665,0
86729,0
103184,0
92816,0
80714,0
58427,0
49595,0
101248,1
105894,0
39609,0
39616,0
51475,0
17192,0
87351,0
75187,0
76321,1
75157,0
72561,1
102612,0
62980,0
12363,0
100039,0
109330,0
19585,0
81371,1
46988,0
106571,0
4479,0
69343,1
107021,0
35336,0
91,1
100050,0
22900,0
72334,0
40491,0
68069,1
87408,1
79999,0
29904,0
101649,0
10467,0
70083,0
48337,0
11342,0
102136,0
90369,0
66972,0
32908,0
25743,0
37049,1
42937,0
83211,0
3281,0
95919,1
84117,0
15744,1
91459,1
699,0
22679,0
59130,0
76324,0
97690,0
29832,0
36572,0
53783,0
23204,0
25450,0
99213,1
11767,0
56205,0
15140,0
40310,1
39649,0
48751,0
21825,0
56692,1
53978,0
52815,0
109644,0
96738,0
86492,0
48610,0
59834,0
103428,0
10337,0
645,0
93019,0
40509,0
95303,0
64409,0
13437,0
55665,0
21017,1
34702,1
96567,0
45812,0
10198,0
30308,1
67418,0
78504,1
98740,0
84759,0
82778,1
23041,0
91005,0
11467,1
32930,0
42091,0
74030,0
6389,1
91073,0
21380,1
49927,0
20214,0
58937,1
76504,0
24385,0
24547,0
39874,0
100218,0
63000,1
61971,0
64045,0
28347,0
48395,0
36722,0
20817,1
45320,1
88981,0
18655,1
56514,0
1967,0
27113,0
68642,0
33645,0
101470,0
60332,0
77841,0
1569,0
58817,0
49317,0
104241,0
7783,0
38539,0
48254,0
76764,0
74068,0
61777,1
28429,1
38910,1
20331,0
19211,0
10733,0
35539,0
39100,0
24493,0
38877,0
83628,0
44066,0
9689,0
94147,0
53232,0
84806,0
106671,1
106898,0
67697,0
47377,0
57766,0
97112,0
104732,0
85544,1
52838,1
66519,0
11250,0
90125,0
29410,0
99242,0
50154,0
72201,0
32860,1
3979,0
23655,0
103233,0
69856,0
53935,0
91054,0
5773,0
99555,0
95940,1
102904,0
30988,0
61059,0
38264,0
56619,1
19525,0
46527,0
61391,0
4496,0
68946,1
48330,0
89400,0
83816,0
21391,0
4914,0
26852,0
57298,0
96976,0
29828,1
22721,0
82607,1
66074,0
47549,0
28603,1
96426,1
12245,0
84642,0
63511,1
94997,0
83956,0
28337,0
34486,0
107894,0
76027,0
98458,0
106790,0
25903,0
48510,0
96060,0
74920,0
3831,0
106925,0
18213,0
75190,1
83342,0
98661,0
6536,0
58941,0
55403,1
7678,0
48883,0
27237,0
6802,1
86887,1
11085,0
81942,1
71787,0
105838,0
45955,0
79445,0
86336,0
39975,0
58836,0
98506,1
87994,1
62572,0
86692,1
26959,1
69739,1
21237,0
57860,0
67540,0
34392,0
98719,0
83744,0
56860,0
21016,0
91371,0
43713,0
3002,0
9368,0
110414,0
26383,1
458,1
46469,0
98641,1
52403,0
11272,0
93357,0
107633,0
64025,0
88584,0
58545,0
18243,0
14507,0
17434,0
14334,0
62172,0
104111,0
56191,0
41472,0
110252,0
75516,0
61451,0
14767,1
11209,0
80682,0
97632,1
43339,0
86029,0
86395,1
83619,0
28802,0
38189,0
74423,0
57080,0
59317,0
108484,0
21842,0
46557,0
107010,0
19287,0
59871,0
42714,0
13497,1
93962,1
77155,0
42082,0
7812,0
81387,1
24264,0
53148,1
11527,0
100301,0
103803,0
82475,0
42562,0
89127,0
106495,0
45218,0
2234,0
105237,1
38195,0
22610,0
32545,0
29420,0
39432,0
36996,0
32747,0
45731,0
62895,0
406,1
81166,0
90068,1
36929,0
4198,0
46686,0
34052,0
99324,0
20536,0
52069,0
68221,0
105621,0
57015,0
237,0
68207,0
64366,1
76108,0
34979,0
92571,0
74630,1
82133,0
70911,1
43324,0
62579,0
49538,0
40218,0
45447,0
101499,0
30478,0
12036,0
82952,0
78173,0
96390,1
25220,1
45748,0
8580,0
100145,1
100525,0
100982,1
71242,0
62094,0
15994,0
95863,0
38072,0
91811,1
65679,0
58912,0
106661,0
90414,0
34133,0
105617,0
107226,0
25412,1
109618,0
13884,0
12557,0
19965,0
12934,0
102960,1
34341,0
98119,1
57602,0
106295,0
39607,0
57352,0
22510,0
14029,0
89617,1
99716,1
21430,1
74658,1
73378,1
19937,0
25744,1
73496,0
64562,0
28821,0
44263,0
93826,0
61817,0
86052,1
30927,0
84781,0
91844,0
75093,0
54333,0
88989,0
63240,0
87295,1
32752,0
102269,1
100415,0
37747,0
99391,0
19814,1
92107,0
93865,0
66895,1
96606,0
39602,0
29046,0
29006,0
30095,0
59740,0
20861,0
54890,1
54682,0
107710,0
17845,0
27656,0
107618,0
93304,0
8043,0
20300,0
83720,0
64903,0
54903,0
91515,0
26349,0
1017,0
37003,0
25841,0
10011,1
25826,0
29900,0
11859,0
39185,0
17046,0
210,0
30903,0
7216,0
54363,0
38074,0
46524,0
44426,0
89657,0
66953,0
104125,0
23016,0
14033,0
8671,0
6179,0
52584,0
78045,0
57691,1
5633,0
46409,0
55144,0
110485,1
59584,0
63579,0
8767,0
30070,0
69009,0
98324,0
66734,0
46648,1
91133,1
51620,0
22536,0
89983,0
92082,0
89,0
40889,0
79921,1
26731,1
86475,1
29298,0
38631,0
31361,0
18310,0
26759,0
45861,0
28350,0
53558,0
75300,0
15017,0
75693,0
82157,0
64039,0
29803,1
77138,0
70274,0
3460,1
71467,0
9152,1
6313,1
70390,0
30970,0
43114,0
22827,0
15816,1
60515,1
75660,0
25525,0
76907,1
56178,1
51082,0
6970,1
33951,0
10277,1
42627,0
66604,1
43385,0
38751,0
25470,0
69550,0
109520,0
3240,0
16693,0
69716,0
39808,0
83496,0
54568,0
65185,0
97695,0
30772,0
3970,0
28249,0
93575,0
59542,1
55598,0
14556,0
43455,0
9059,0
11119,0
47605,0
84227,0
102329,0
107777,0
99041,0
70096,1
88128,0
84374,0
28204,0
22651,0
18901,0
30228,1
23261,0
39354,0
49533,0
59783,0
19582,0
28416,0
61055,0
86346,0
54734,0
16915,1
91227,0
13509,0
64585,0
68270,0
50452,0
49730,0
28554,1
26368,0
41607,0
105932,0
70184,0
75442,1
72889,0
100133,0
87957,0
107425,0
51815,0
25349,1
30399,1
28007,0
11462,0
80693,0
6893,0
10906,0
21929,0
87227,0
89264,1
88779,1
3839,0
67476,0
21980,0
36812,0
79259,0
60443,0
86183,0
61002,0
30930,0
82218,0
34394,0
44373,0
18423,1
84166,1
42872,1
52220,0
83001,0
98577,0
44288,0
45966,1
5077,0
89784,0
95337,0
84437,0
40337,0
50953,0
102752,0
52732,0
18041,0
69439,0
52632,0
57563,0
88722,0
107099,0
35350,0
23251,0
80906,0
3639,0
24256,0
54640,1
65470,0
62723,0
31939,0
86791,0
99951,0
90112,1
33926,0
55760,0
84544,0
97965,0
30997,0
20050,0
79319,0
46561,1
109382,0
16020,0
55889,0
88919,1
108847,1
75247,0
100679,0
20954,1
15665,0
52013,0
92546,0
51913,0
37896,1
91311,0
97078,0
91750,1
40274,1
65676,0
16416,0
84,0
98014,0
54491,0
103690,0
21665,0
21495,0
11149,0
76379,1
2300,0
19043,0
93998,0
45290,0
14305,0
86600,0
107873,0
42418,0
101957,1
37954,0
16801,0
21851,0
67638,0
40494,0
99299,0
68159,0
38373,0
30918,0
55842,1
30640,0
63548,0
17916,0
71799,0
101030,0
9587,1
39904,0
69230,0
40200,0
27329,1
50703,1
85143,1
65068,0
65730,0
6175,0
54412,0
108366,1
76700,1
31509,0
17044,0
1876,0
30287,1
85685,0
81138,0
94129,0
74892,0
62347,0
47226,0
87657,1
73712,0
107450,0
14295,0
13945,0
71480,0
62430,0
23287,0
86760,0
100508,0
6557,1
25550,0
91751,1
3537,0
9584,0
5768,0
48619,0
59641,0
10487,1
65954,1
85897,0
100199,0
107588,0
22717,0
91084,0
11593,0
104255,0
46209,0
83992,0
83513,0
1965,0
91913,0
22434,0
89822,0
17844,0
64783,0
50912,1
70623,0
21323,0
61547,0
82134,1
40060,1
7406,0
89965,0
97674,0
2508,0
55845,0
84281,1
55523,0
69811,0
98741,0
33302,0
13031,0
46143,0
52615,0
30587,0
86533,0
34261,0
3064,0
100171,1
93021,0
95351,0
91711,0
81685,0
60942,0
65330,0
43763,0
27924,0
44082,0
53901,0
27772,0
103344,0
68363,0
13693,0
86720,0
14349,0
102660,0
12904,0
26996,0
76942,0
104266,0
100760,0
43629,0
52448,0
88369,1
49443,0
64735,0
37886,0
86585,0
37096,0
55583,0
13516,0
71735,0
24372,1
53893,1
98450,0
42656,0
53905,0
80935,0
14985,0
80902,0
28623,0
11529,0
31330,0
95756,0
81000,0
77388,0
57325,0
102398,0
71650,0
64344,0
73148,0
40199,1
9591,0
12853,0
75844,0
14713,0
1919,0
46051,0
62369,1
108627,0
108217,0
71822,0
73212,0
81175,1
8460,0
18597,0
26233,1
24420,0
90521,0
93502,0
98667,0
28737,1
89108,0
34281,0
85260,0
25427,0
102967,0
69823,1
96147,0
99431,1
102975,0
29911,0
15411,0
96443,1
45520,0
86611,1
31638,0
103626,0
15866,0
86327,0
94364,0
58776,0
74805,0
15301,0
108090,0
71928,0
63868,0
99368,0
57154,0
14127,1
16045,0
90416,0
34527,0
71576,0
12311,0
99260,0
97187,0
50821,0
54837,0
29970,1
109581,0
51870,0
87992,0
67580,1
6655,1
90632,0
41881,1
55290,0
65885,0
1298,0
66450,0
87783,0
57955,1
49079,1
21531,0
1267,0
87869,0
41512,0
27561,0
14418,0
13288,0
37448,0
94786,0
74164,0
9924,0
73574,1
21019,0
35855,0
3255,0
27491,0
78234,0
76078,0
73790,0
360,1
56920,1
101632,0
76206,0
76,0
29889,0
9853,0
85702,0
5016,0
58219,0
62353,0
82240,0
64769,0
87728,0
29297,0
90816,0
68274,0
5435,0
100282,0
480,0
53304,0
90088,0
21604,0
108314,0
64894,0
93539,0
29641,0
41431,0
77330,1
45286,0
40318,0
6106,1
102986,0
12743,1
86680,0
80395,1
98711,0
42488,0
26934,1
20962,0
41779,0
62318,0
100983,0
29550,0
51451,0
25885,1
42812,0
85483,0
106025,0
86541,0
6620,0
35542,0
28224,0
1615,0
9186,1
80398,1
25219,0
83066,0
61041,1
8550,0
23669,0
95421,0
37391,1
70255,0
55467,0
92858,0
105695,1
9421,0
91517,0
38967,1
93229,1
38133,0
60270,0
11195,0
29061,0
94454,0
41169,0
3332,0
49421,0
31903,1
47420,0
97889,1
47598,0
35105,1
57294,0
50709,0
94227,0
21418,0
92252,1
106445,0
55328,0
86019,0
73276,0
84240,0
37261,0
50630,1
10065,0
73722,0
40590,0
5210,0
4737,0
90896,0
35751,0
92918,0
376,0
65709,0
102416,1
30314,0
22624,0
11880,0
12913,0
98194,0
75075,0
98242,0
38316,0
3170,1
28826,1
44502,1
102875,1
68812,1
102322,0
90783,0
11759,0
6189,1
18407,0
85302,0
109910,0
8808,0
47503,0
81288,1
34565,0
40988,0
54438,0
7867,1
99043,0
21116,0
56114,0
77791,0
17524,0
21770,0
52970,0
23192,0
101407,0
93719,1
98346,1
22226,1
52507,0
69562,0
44610,0
22628,1
51749,0
9043,0
48108,0
74853,0
61550,0
22366,0
7416,0
98994,1
15227,0
71289,0
32552,0
7119,0
53273,1
33024,0
87965,0
62701,0
48435,1
38140,0
85003,1
90639,0
77282,0
85626,0
17280,0
86342,0
20349,0
78034,0
2927,0
79032,0
41860,0
8599,0
43640,0
55129,0
30405,0
103324,1
101750,0
47208,1
66981,0
89844,0
41861,0
102129,1
66830,0
13711,0
27729,0
76719,0
89803,1
37336,0
72538,0
62750,0
91617,0
107431,0
85935,0
28116,0
78738,0
23961,0
62052,1
34384,0
27702,1
57925,0
90142,1
29778,1
79621,1
55210,0
95653,1
71148,0
98390,0
96909,0
14411,0
57939,0
91752,1
84295,0
105672,0
59826,0
40952,1
28378,0
73839,0
23802,0
71456,0
12537,0
61860,0
93420,0
12872,0
99343,0
12890,0
97233,0
96290,0
84456,0
33496,0
21637,0
2253,0
86328,0
70503,0
56489,0
73043,0
96918,0
88465,0
84391,0
78767,0
16367,1
31195,0
32641,0
26764,0
62955,0
81458,0
51364,1
105303,0
60726,1
107358,0
67932,0
46225,0
28183,0
21010,0
28114,0
71063,0
9727,0
56357,0
16707,1
4365,0
80578,1
52820,1
1187,0
56225,0
42298,0
69210,0
53055,0
41914,0
53090,1
12039,0
36918,0
64692,0
69487,0
10915,0
37795,0
5924,0
22131,0
98135,0
40790,0
82668,0
18882,0
29907,0
73758,1
87220,0
24343,0
107128,1
15512,0
58922,1
46808,0
88059,0
94072,0
101534,1
30855,0
50106,0
96676,0
8143,0
72365,0
18118,1
97494,1
61103,0
81766,0
2681,0
55054,1
106466,0
46134,0
92200,0
88589,0
26978,0
88263,0
26577,0
19901,0
8757,0
62586,0
65832,1
84063,0
78831,0
50581,0
62407,0
97278,1
52886,1
31546,0
58870,0
73553,0
84727,0
109417,0
39688,0
48648,0
40230,0
52392,0
2120,0
39423,0
87588,0
29052,0
71741,0
11821,0
99019,0
62232,0
75619,0
37012,0
90240,0
108506,0
3517,0
39380,0
104254,0
95136,0
74267,1
51651,0
84378,0
68865,1
85795,1
110203,0
42830,1
17305,0
11355,0
44138,0
16547,0
108952,0
81399,1
14016,0
103144,0
73879,0
57553,0
75248,0
39370,1
84516,0
20241,0
49402,0
42873,0
96514,0
98793,0
67738,0
98289,0
101695,0
72483,0
51735,0
94970,0
70032,0
29992,0
91187,0
50799,0
53704,0
36150,0
13344,0
62441,0
75083,0
68760,1
53458,0
10923,0
49661,0
34297,0
61897,0
46020,0
37586,0
36408,0
53377,0
10626,0
73659,0
80093,0
77264,1
10885,0
95171,0
22825,0
